surface,tourney_level,best_of,round,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before
0.0,2,3,5,-23.0,-7.0193,4.6,0,-1.5,3.0,-3.5,0,1009.14286,1004.63157
0.0,2,3,5,-120.0,-6.5453,-6.1,1,3.0,-1.0,-1.5,0,1009.0493,1009.14286
0.0,2,3,5,120.0,6.5453,6.1,0,-3.0,1.0,1.5,0,1009.14286,1009.0493
0.0,2,3,6,18.0,8.1668,5.7,1,-5.5,2.0,0.5,0,1009.26192,1009.26192
0.0,2,3,6,-18.0,-8.1668,-5.7,0,5.5,-2.0,-0.5,0,1009.26192,1009.26192
0.0,2,3,6,-141.0,-7.4877,-1.3,1,5.17,-0.0,0.0,0,1025.05361,1009.26192
0.0,2,3,6,141.0,7.4877,1.3,0,-5.17,0.0,-0.0,0,1009.26192,1025.05361
0.0,2,3,7,152.0,8.4755,4.3,1,-6.33,1.58,-2.17,0,1025.26192,1040.32688
0.0,2,3,7,-152.0,-8.4755,-4.3,0,6.33,-1.58,2.17,0,1040.32688,1025.26192
0.0,2,3,3,67.0,9.2733,3.1,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-67.0,-9.2733,-3.1,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-124.0,-6.3244,-9.7,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,124.0,6.3244,9.7,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,3.0,4.7095,6.4,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-3.0,-4.7095,-6.4,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,131.0,8.2082,6.5,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-131.0,-8.2082,-6.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,33.0,6.0064,1.5,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-33.0,-6.0064,-1.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-35.0,-5.3519,-3.0,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,35.0,5.3519,3.0,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-34.0,-6.4536,-6.6,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,34.0,6.4536,6.6,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,15.0,5.994,-0.4,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-15.0,-5.994,0.4,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-12.0,-5.0999,-4.3,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,12.0,5.0999,4.3,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-38.0,-5.4205,-2.9,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,38.0,5.4205,2.9,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,41.0,8.2298,1.0,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-41.0,-8.2298,-1.0,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-17.0,-6.0638,3.2,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,17.0,6.0638,-3.2,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-43.0,-5.3423,-4.3,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,43.0,5.3423,4.3,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,200.0,6.0113,5.8,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-200.0,-6.0113,-5.8,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-124.0,-8.7257,6.0,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,124.0,8.7257,-6.0,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,4,56.0,9.2667,-1.3,1,-4.0,1.0,1.0,0,1004.57143,1000.0
0.0,2,3,4,-56.0,-9.2667,1.3,0,4.0,-1.0,-1.0,0,1000.0,1004.57143
0.0,2,3,4,144.0,6.9354,13.0,1,25.0,-0.0,7.0,0,1004.57143,1004.57143
0.0,2,3,4,-144.0,-6.9354,-13.0,0,-25.0,0.0,-7.0,0,1004.57143,1004.57143
0.0,2,3,4,23.0,7.9763,1.6,1,-3.0,3.0,-7.0,0,1004.57143,1004.57143
0.0,2,3,4,-23.0,-7.9763,-1.6,0,3.0,-3.0,7.0,0,1004.57143,1004.57143
0.0,2,3,4,-40.0,-5.451,5.4,1,-1.0,-2.0,-4.0,0,1004.57143,1004.57143
0.0,2,3,4,40.0,5.451,-5.4,0,1.0,2.0,4.0,0,1004.57143,1004.57143
0.0,2,3,4,26.0,6.2934,-0.7,1,-2.0,-3.0,3.0,0,1004.57143,1004.57143
0.0,2,3,4,-26.0,-6.2934,0.7,0,2.0,3.0,-3.0,0,1004.57143,1004.57143
0.0,2,3,4,92.0,8.308,1.5,1,5.0,1.0,-4.0,0,1004.57143,1004.57143
0.0,2,3,4,-92.0,-8.308,-1.5,0,-5.0,-1.0,4.0,0,1004.57143,1004.57143
0.0,2,3,4,72.0,5.9989,4.2,1,-3.0,-2.0,0.0,0,1004.57143,1004.57143
0.0,2,3,4,-72.0,-5.9989,-4.2,0,3.0,2.0,-0.0,0,1004.57143,1004.57143
0.0,2,3,4,38.0,5.0039,-4.5,1,2.0,2.0,-10.0,0,1004.57143,1004.57143
0.0,2,3,4,-38.0,-5.0039,4.5,0,-2.0,-2.0,10.0,0,1004.57143,1004.57143
0.0,2,3,5,-26.0,-9.2144,8.2,1,19.0,2.0,1.5,0,1009.14286,1009.0493
0.0,2,3,5,26.0,9.2144,-8.2,0,-19.0,-2.0,-1.5,0,1009.0493,1009.14286
0.0,2,3,5,88.0,8.1597,2.7,1,-7.0,0.5,0.0,0,1009.14286,1009.14286
0.0,2,3,5,-88.0,-8.1597,-2.7,0,7.0,-0.5,-0.0,0,1009.14286,1009.14286
0.0,2,3,5,19.0,8.0867,0.8,1,-0.5,2.5,-2.0,0,1009.14286,1009.14286
0.0,2,3,5,-19.0,-8.0867,-0.8,0,0.5,-2.5,2.0,0,1009.14286,1009.14286
0.0,2,3,5,44.0,5.6904,0.8,1,-1.5,-1.0,3.5,0,1009.14286,1009.14286
0.0,2,3,5,-44.0,-5.6904,-0.8,0,1.5,1.0,-3.5,0,1009.14286,1009.14286
0.0,2,3,6,17.0,7.9106,-3.1,1,-19.66,-1.67,-0.67,0,1025.14286,1025.13855
0.0,2,3,6,-17.0,-7.9106,3.1,0,19.66,1.67,0.67,0,1025.13855,1025.14286
0.0,2,3,6,38.0,8.2244,-1.5,1,1.0,0.66,-4.0,0,1025.14286,1025.14286
0.0,2,3,6,-38.0,-8.2244,1.5,0,-1.0,-0.66,4.0,0,1025.14286,1025.14286
0.0,2,3,7,-3.0,-6.3208,3.4,1,-2.0,-1.0,1.25,0,1041.14266,1041.14286
0.0,2,3,7,3.0,6.3208,-3.4,0,2.0,1.0,-1.25,0,1041.14286,1041.14266
0.0,2,3,3,-269.0,-6.3368,-2.7,1,0.0,0.0,0.0,0,1000.0,995.48872
0.0,2,3,3,269.0,6.3368,2.7,0,-0.0,-0.0,-0.0,0,995.48872,1000.0
0.0,2,3,3,-18.0,-4.9836,-1.3,1,2.0,-1.0,-2.5,0,994.82708,995.42857
0.0,2,3,3,18.0,4.9836,1.3,0,-2.0,1.0,2.5,0,995.42857,994.82708
0.0,2,3,3,38.0,6.2596,-0.3,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-38.0,-6.2596,0.3,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-12.0,-4.8752,-6.3,1,0.0,0.0,0.0,0,1000.0,1009.14286
0.0,2,3,3,12.0,4.8752,6.3,0,-0.0,-0.0,-0.0,0,1009.14286,1000.0
0.0,2,3,3,8.0,4.4543,4.4,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-8.0,-4.4543,-4.4,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,10.0,5.79,-5.9,1,5.0,-5.0,1.0,0,995.42857,995.42857
0.0,2,3,3,-10.0,-5.79,5.9,0,-5.0,5.0,-1.0,0,995.42857,995.42857
0.0,2,3,3,4.0,4.6634,0.7,1,-12.0,-0.5,2.0,0,994.82708,995.42857
0.0,2,3,3,-4.0,-4.6634,-0.7,0,12.0,0.5,-2.0,0,995.42857,994.82708
0.0,2,3,3,36.0,5.5835,4.4,1,-7.0,-2.33,3.0,0,992.93512,992.93512
0.0,2,3,3,-36.0,-5.5835,-4.4,0,7.0,2.33,-3.0,0,992.93512,992.93512
0.0,2,3,3,12.0,4.3041,-5.2,1,4.67,6.0,1.33,0,992.93512,995.42857
0.0,2,3,3,-12.0,-4.3041,5.2,0,-4.67,-6.0,-1.33,0,995.42857,992.93512
0.0,2,3,3,-58.0,-6.3456,3.4,1,0.0,0.0,0.0,0,1000.0,992.93512
0.0,2,3,3,58.0,6.3456,-3.4,0,-0.0,-0.0,-0.0,0,992.93512,1000.0
0.0,2,3,3,30.0,5.553,-4.5,1,-3.5,-1.0,0.0,0,995.42857,994.92064
0.0,2,3,3,-30.0,-5.553,4.5,0,3.5,1.0,-0.0,0,994.92064,995.42857
0.0,2,3,3,29.0,5.2983,-0.2,1,-3.5,4.5,-0.5,0,994.92064,995.42857
0.0,2,3,3,-29.0,-5.2983,0.2,0,3.5,-4.5,0.5,0,995.42857,994.92064
0.0,2,3,4,-320.0,-7.4122,-1.3,1,0.0,0.0,0.0,0,1004.51207,1000.0
0.0,2,3,4,320.0,7.4122,1.3,0,-0.0,-0.0,-0.0,0,1000.0,1004.51207
0.0,2,3,4,-37.0,-6.25,-2.0,1,-9.33,1.67,-0.33,0,1010.85478,1004.57143
0.0,2,3,4,37.0,6.25,2.0,0,9.33,-1.67,0.33,0,1004.57143,1010.85478
0.0,2,3,4,28.0,6.3297,8.5,1,-5.0,-2.0,-1.0,0,995.42857,1004.6917
0.0,2,3,4,-28.0,-6.3297,-8.5,0,5.0,2.0,1.0,0,1004.6917,995.42857
0.0,2,3,4,14.0,5.9532,3.5,1,-5.0,3.5,-2.0,0,1005.07936,1004.57143
0.0,2,3,4,-14.0,-5.9532,-3.5,0,5.0,-3.5,2.0,0,1004.57143,1005.07936
0.0,2,3,4,-14.0,-5.7236,3.7,1,4.67,-1.25,-0.5,0,1008.93512,1010.85478
0.0,2,3,4,14.0,5.7236,-3.7,0,-4.67,1.25,0.5,0,1010.85478,1008.93512
0.0,2,3,4,-47.0,-6.5848,-9.0,1,0.75,0.25,0.0,0,1009.04995,995.42857
0.0,2,3,4,47.0,6.5848,9.0,0,-0.75,-0.25,-0.0,0,995.42857,1009.04995
0.0,2,3,4,-52.0,-5.9584,0.0,1,7.0,-0.5,-6.5,0,1004.47848,1005.06897
0.0,2,3,4,52.0,5.9584,-0.0,0,-7.0,0.5,6.5,0,1005.06897,1004.47848
0.0,2,3,4,-29.0,-6.737,5.2,1,-0.66,2.0,-1.33,0,1010.94403,993.26192
0.0,2,3,4,29.0,6.737,-5.2,0,0.66,-2.0,1.33,0,993.26192,1010.94403
0.0,2,3,5,272.0,6.3474,0.7,1,-5.25,-0.75,0.75,0,1026.56545,1009.02413
0.0,2,3,5,-272.0,-6.3474,-0.7,0,5.25,0.75,-0.75,0,1009.02413,1026.56545
0.0,2,3,5,-1.0,-3.8501,-5.4,1,5.33,-1.17,2.83,0,1021.05597,1005.26891
0.0,2,3,5,1.0,3.8501,5.4,0,-5.33,1.17,-2.83,0,1005.26891,1021.05597
0.0,2,3,5,26.0,5.2933,9.4,1,4.8,-2.8,1.2,0,1025.02352,1024.42298
0.0,2,3,5,-26.0,-5.2933,-9.4,0,-4.8,2.8,-1.2,0,1024.42298,1025.02352
0.0,2,3,5,-41.0,-5.5759,-0.3,1,4.25,-0.25,-0.25,0,1009.11363,1026.13044
0.0,2,3,5,41.0,5.5759,0.3,0,-4.25,0.25,0.25,0,1026.13044,1009.11363
0.0,2,3,6,-38.0,-6.3886,-0.6,1,-7.15,1.55,-1.3,0,1041.75833,1036.32945
0.0,2,3,6,38.0,6.3886,0.6,0,7.15,-1.55,1.3,0,1036.32945,1041.75833
0.0,2,3,6,-47.0,-5.79,-2.7,1,-2.34,2.33,-3.0,0,1025.89666,1040.99586
0.0,2,3,6,47.0,5.79,2.7,0,2.34,-2.33,3.0,0,1040.99586,1025.89666
0.0,2,3,7,-26.0,-4.9558,1.9,1,8.83,0.58,-2.67,0,1042.59157,1057.50834
0.0,2,3,7,26.0,4.9558,-1.9,0,-8.83,-0.58,2.67,0,1057.50834,1042.59157
0.0,2,3,3,-317.0,-6.0234,1.3,1,0.0,0.0,0.0,0,1000.0,995.42857
0.0,2,3,3,317.0,6.0234,-1.3,0,-0.0,-0.0,-0.0,0,995.42857,1000.0
0.0,2,3,3,-1.0,-1.6094,-6.1,1,0.0,0.0,0.0,0,1000.0,995.42857
0.0,2,3,3,1.0,1.6094,6.1,0,-0.0,-0.0,-0.0,0,995.42857,1000.0
0.0,2,3,3,13.0,4.7791,0.7,1,0.67,-0.0,-1.0,0,992.93512,995.42857
0.0,2,3,3,-13.0,-4.7791,-0.7,0,-0.67,0.0,1.0,0,995.42857,992.93512
0.0,2,3,3,13.0,4.9345,2.3,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-13.0,-4.9345,-2.3,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,466.0,6.0958,3.4,1,0.0,0.0,0.0,0,995.42857,1000.0
0.0,2,3,3,-466.0,-6.0958,-3.4,0,-0.0,-0.0,-0.0,0,1000.0,995.42857
0.0,2,3,3,-69.0,-6.4552,0.5,1,0.0,0.0,0.0,0,1000.0,1000.0
