best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,18,67.0,-0.0,7.4,0,-0.0,-0.0,-0.0,0,1000.0,1005.17292,-4.57143
3,18,57.0,0.0,-9.9,1,0.0,0.0,0.0,0,1000.0,1004.57143,-4.57143
3,18,-57.0,-0.0,9.9,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0,4.57143
3,18,76.0,0.0,3.3,1,0.0,0.0,0.0,1,1000.0,1004.57143,-4.57143
3,18,-76.0,-0.0,-3.3,0,-0.0,-0.0,-0.0,-1,1004.57143,1000.0,4.57143
3,24,-20.0,0.0,-3.5,1,0.0,0.0,0.0,0,1020.93472,1009.09231,0.0
3,24,20.0,-0.0,3.5,0,-0.0,-0.0,-0.0,0,1009.09231,1020.93472,0.0
3,24,-16.0,0.0,-7.5,1,0.0,0.0,0.0,0,1004.63157,1004.63157,0.0
3,24,16.0,-0.0,7.5,0,-0.0,-0.0,-0.0,0,1004.63157,1004.63157,0.0
3,24,18.0,0.0,-0.6,1,0.0,0.0,0.0,8,1004.57143,1004.63157,-0.06014
3,24,-18.0,-0.0,0.6,0,-0.0,-0.0,-0.0,-8,1004.63157,1004.57143,0.06014
3,24,-10.0,0.0,-1.3,1,0.0,0.0,0.0,-1,1004.63157,1004.57143,0.06014
3,24,10.0,-0.0,1.3,0,-0.0,-0.0,-0.0,1,1004.57143,1004.63157,-0.06014
3,24,19.0,0.0,13.0,1,0.0,0.0,0.0,0,1004.6307,1010.76792,0.0
3,24,-19.0,-0.0,-13.0,0,-0.0,-0.0,-0.0,0,1010.76792,1004.6307,0.0
3,24,25.0,0.0,8.5,1,0.0,0.0,0.0,0,1004.63068,1054.78122,0.0
3,24,-25.0,-0.0,-8.5,0,-0.0,-0.0,-0.0,0,1054.78122,1004.63068,0.0
3,24,-64.0,0.0,-1.0,1,0.0,0.0,0.0,-2,1020.93472,1004.57143,4.47787
3,24,64.0,-0.0,1.0,0,-0.0,-0.0,-0.0,2,1004.57143,1020.93472,-4.47787
3,24,18.0,0.0,5.0,1,0.0,0.0,0.0,0,1004.63157,1004.63157,0.0
3,24,-18.0,-0.0,-5.0,0,-0.0,-0.0,-0.0,0,1004.63157,1004.63157,0.0
3,30,41.0,0.0,1.7,1,0.0,0.0,0.0,0,1009.16959,1036.38957,-15.87971
3,30,-41.0,-0.0,-1.7,0,-0.0,-0.0,-0.0,0,1036.38957,1009.16959,15.87971
3,30,16.0,0.0,4.8,1,0.0,0.0,0.0,1,1009.14409,1009.16836,-0.02427
3,30,-16.0,-0.0,-4.8,0,-0.0,-0.0,-0.0,-1,1009.16836,1009.14409,0.02427
3,30,3.0,0.0,-0.7,1,0.0,0.0,0.0,-6,1010.18857,1009.2948,0.0
3,30,-3.0,-0.0,0.7,0,-0.0,-0.0,-0.0,6,1009.2948,1010.18857,0.0
3,30,79.0,0.0,0.5,1,0.0,0.0,0.0,1,1009.16959,1036.18172,-15.67351
3,30,-79.0,-0.0,-0.5,0,-0.0,-0.0,-0.0,-1,1036.18172,1009.16959,15.67351
5,60,25.0,0.0,2.4,1,0.0,0.0,0.0,0,1025.14521,1026.42056,-0.75516
5,60,-25.0,-0.0,-2.4,0,-0.0,-0.0,-0.0,0,1026.42056,1025.14521,0.75516
5,60,5.0,0.0,-2.4,1,0.0,0.0,0.0,-4,1026.41104,1026.14741,0.7213
5,60,-5.0,-0.0,2.4,0,-0.0,-0.0,-0.0,4,1026.14741,1026.41104,-0.7213
5,70,4.0,0.0,0.4,1,0.0,0.0,0.0,-2,1042.3989,1041.20394,0.67768
5,70,-4.0,-0.0,-0.4,0,-0.0,-0.0,-0.0,2,1041.20394,1042.3989,-0.67768
3,18,204.0,0.0,-2.0,1,0.0,0.0,0.0,2,1000.0,1000.0,0.0
3,18,-204.0,-0.0,2.0,0,-0.0,-0.0,-0.0,-2,1000.0,1000.0,0.0
3,18,28.0,0.0,-5.3,1,0.0,0.0,0.0,0,1036.48761,994.82708,40.42657
3,18,-28.0,-0.0,5.3,0,-0.0,-0.0,-0.0,0,994.82708,1036.48761,-40.42657
3,18,82.0,0.0,2.6,1,0.0,0.0,0.0,0,1010.36183,1000.0,0.0
3,18,-82.0,-0.0,-2.6,0,-0.0,-0.0,-0.0,0,1000.0,1010.36183,0.0
3,18,30.0,0.0,11.0,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,18,-30.0,-0.0,-11.0,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,18,180.0,0.0,-5.1,1,0.0,0.0,0.0,0,993.16724,995.48872,4.51128
3,18,-180.0,-0.0,5.1,0,-0.0,-0.0,-0.0,0,995.48872,993.16724,-4.51128
3,18,64.0,0.0,10.2,1,0.0,0.0,0.0,0,995.49663,994.82708,0.0
3,18,-64.0,-0.0,-10.2,0,-0.0,-0.0,-0.0,0,994.82708,995.49663,0.0
3,18,150.0,0.0,-2.6,1,0.0,0.0,0.0,0,995.42857,1000.0,0.0
3,18,-150.0,-0.0,2.6,0,-0.0,-0.0,-0.0,0,1000.0,995.42857,0.0
3,18,91.0,0.0,-10.0,1,0.0,0.0,0.0,-1,994.48532,1000.0,-5.7052
3,18,-91.0,-0.0,10.0,0,-0.0,-0.0,-0.0,1,1000.0,994.48532,5.7052
3,18,133.0,0.0,-1.9,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,18,-133.0,-0.0,1.9,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,24,-53.0,0.0,5.6,1,0.0,0.0,0.0,0,1000.0,1050.57821,-54.57321
3,24,53.0,-0.0,-5.6,0,-0.0,-0.0,-0.0,0,1050.57821,1000.0,54.57321
3,24,-72.0,0.0,5.1,1,0.0,0.0,0.0,0,1004.57143,1025.88479,0.0
3,24,72.0,-0.0,-5.1,0,-0.0,-0.0,-0.0,0,1025.88479,1004.57143,0.0
3,24,-39.0,0.0,-5.6,1,0.0,0.0,0.0,0,1005.17292,1005.09591,0.0
3,24,39.0,-0.0,5.6,0,-0.0,-0.0,-0.0,0,1005.09591,1005.17292,0.0
3,24,-41.0,0.0,19.0,1,0.0,0.0,0.0,0,994.82708,1010.73926,-10.55751
3,24,41.0,-0.0,-19.0,0,-0.0,-0.0,-0.0,0,1010.73926,994.82708,10.55751
3,24,-8.0,0.0,-3.4,1,0.0,0.0,0.0,-1,1004.57143,995.42857,4.57143
3,24,8.0,-0.0,3.4,0,-0.0,-0.0,-0.0,1,995.42857,1004.57143,-4.57143
3,24,-59.0,0.0,-9.3,1,0.0,0.0,0.0,-1,1019.1386,1000.0,-4.57143
3,24,59.0,-0.0,9.3,0,-0.0,-0.0,-0.0,1,1000.0,1019.1386,4.57143
3,30,76.0,0.0,0.9,1,0.0,0.0,0.0,0,1004.57143,1005.23226,-0.7122
3,30,-76.0,-0.0,-0.9,0,-0.0,-0.0,-0.0,0,1005.23226,1004.57143,0.7122
3,30,17.0,0.0,-7.8,1,0.0,0.0,0.0,0,1021.16937,1011.55935,4.43256
3,30,-17.0,-0.0,7.8,0,-0.0,-0.0,-0.0,0,1011.55935,1021.16937,-4.43256
3,30,28.0,0.0,0.4,1,0.0,0.0,0.0,1,1008.95577,1034.25813,3.87638
3,30,-28.0,-0.0,-0.4,0,-0.0,-0.0,-0.0,-1,1034.25813,1008.95577,-3.87638
3,36,9.0,0.0,-5.4,1,0.0,0.0,0.0,1,1026.11893,1036.72693,-0.06795
3,36,-9.0,-0.0,5.4,0,-0.0,-0.0,-0.0,-1,1036.72693,1026.11893,0.06795
5,70,-35.0,0.0,-4.5,1,0.0,0.0,0.0,-1,1042.60729,1009.15638,31.71649
5,70,35.0,-0.0,4.5,0,-0.0,-0.0,-0.0,1,1009.15638,1042.60729,-31.71649
5,30,-125.0,0.0,-10.5,1,0.0,0.0,0.0,0,1000.0,995.42857,4.57143
5,30,125.0,-0.0,10.5,0,-0.0,-0.0,-0.0,0,995.42857,1000.0,-4.57143
5,30,55.0,0.0,0.5,1,0.0,0.0,0.0,0,991.04423,1000.0,-4.57143
5,30,-55.0,-0.0,-0.5,0,-0.0,-0.0,-0.0,0,1000.0,991.04423,4.57143
5,30,80.0,0.0,4.5,1,0.0,0.0,0.0,3,1000.0,994.71036,5.17292
5,30,-80.0,-0.0,-4.5,0,-0.0,-0.0,-0.0,-3,994.71036,1000.0,-5.17292
5,30,68.0,0.0,9.4,1,0.0,0.0,0.0,0,995.68014,995.42857,4.57143
5,30,-68.0,-0.0,-9.4,0,-0.0,-0.0,-0.0,0,995.42857,995.68014,-4.57143
5,30,62.0,0.0,2.9,1,0.0,0.0,0.0,1,993.33596,994.82708,-1.65749
5,30,-62.0,-0.0,-2.9,0,-0.0,-0.0,-0.0,-1,994.82708,993.33596,1.65749
5,30,84.0,0.0,5.7,1,0.0,0.0,0.0,2,1010.15955,978.85791,14.37573
5,30,-84.0,-0.0,-5.7,0,-0.0,-0.0,-0.0,-2,978.85791,1010.15955,-14.37573
5,30,4.0,0.0,-0.7,1,0.0,0.0,0.0,-1,980.73648,1000.0,-5.17292
5,30,-4.0,-0.0,0.7,0,-0.0,-0.0,-0.0,1,1000.0,980.73648,5.17292
5,30,109.0,0.0,3.8,1,0.0,0.0,0.0,1,995.49663,1000.0,-4.51128
5,30,-109.0,-0.0,-3.8,0,-0.0,-0.0,-0.0,-1,1000.0,995.49663,4.51128
5,30,6.0,0.0,8.4,1,0.0,0.0,0.0,0,995.42857,1000.0,-4.57143
5,30,-6.0,-0.0,-8.4,0,-0.0,-0.0,-0.0,0,1000.0,995.42857,4.57143
5,40,-192.0,0.0,-3.8,1,0.0,0.0,0.0,0,1004.51128,995.49005,9.02256
5,40,192.0,-0.0,3.8,0,-0.0,-0.0,-0.0,0,995.49005,1004.51128,-9.02256
5,40,14.0,0.0,5.9,1,0.0,0.0,0.0,0,1004.50183,1007.45657,-0.66955
5,40,-14.0,-0.0,-5.9,0,-0.0,-0.0,-0.0,0,1007.45657,1004.50183,0.66955
5,40,53.0,0.0,-6.0,1,0.0,0.0,0.0,2,1009.40463,996.00179,14.41884
5,40,-53.0,-0.0,6.0,0,-0.0,-0.0,-0.0,-2,996.00179,1009.40463,-14.41884
5,40,61.0,0.0,3.2,1,0.0,0.0,0.0,3,1024.72194,997.62269,13.47588
5,40,-61.0,-0.0,-3.2,0,-0.0,-0.0,-0.0,-3,997.62269,1024.72194,-13.47588
5,40,34.0,0.0,2.6,1,0.0,0.0,0.0,-1,994.94613,1000.0,-5.05387
5,40,-34.0,-0.0,-2.6,0,-0.0,-0.0,-0.0,1,1000.0,994.94613,5.05387
5,40,18.0,0.0,4.8,1,0.0,0.0,0.0,1,1005.20178,1000.0,5.19843
5,40,-18.0,-0.0,-4.8,0,-0.0,-0.0,-0.0,-1,1000.0,1005.20178,-5.19843
5,40,75.0,0.0,-12.1,1,0.0,0.0,0.0,0,1000.0,1005.17292,-5.17292
5,40,-75.0,-0.0,12.1,0,-0.0,-0.0,-0.0,0,1005.17292,1000.0,5.17292
5,50,174.0,0.0,11.5,1,0.0,0.0,0.0,1,1009.1724,1008.93152,0.19481
5,50,-174.0,-0.0,-11.5,0,-0.0,-0.0,-0.0,-1,1008.93152,1009.1724,-0.19481
5,50,14.0,0.0,2.3,1,0.0,0.0,0.0,1,1039.4765,1011.17885,28.74203
5,50,-14.0,-0.0,-2.3,0,-0.0,-0.0,-0.0,-1,1011.17885,1039.4765,-28.74203
5,50,18.0,0.0,-9.1,1,0.0,0.0,0.0,1,1004.63949,1020.96225,-16.31956
5,50,-18.0,-0.0,9.1,0,-0.0,-0.0,-0.0,-1,1020.96225,1004.63949,16.31956
5,60,14.0,0.0,-2.2,1,0.0,0.0,0.0,6,1024.78771,1025.16131,-0.53505
5,60,-14.0,-0.0,2.2,0,-0.0,-0.0,-0.0,-6,1025.16131,1024.78771,0.53505
5,60,1.0,0.0,-8.5,1,0.0,0.0,0.0,0,1009.50695,1054.17622,-45.09339
5,60,-1.0,-0.0,8.5,0,-0.0,-0.0,-0.0,0,1054.17622,1009.50695,45.09339
5,70,7.0,0.0,-9.1,1,0.0,0.0,0.0,1,1027.55279,1040.80491,-13.03501
5,70,-7.0,-0.0,9.1,0,-0.0,-0.0,-0.0,-1,1040.80491,1027.55279,13.03501
