surface,tourney_level,best_of,round,rank_diff,points_diff,age_diff,player_elo_before,opponent_elo_before
0.0,2,3,5,19.0,-3250.0,-0.8,1009.1428571428571,1009.1428571428571
0.0,2,3,5,-44.0,295.0,0.8,1009.1428571428571,1009.1428571428571
0.0,2,3,5,44.0,-295.0,-0.8,1009.1428571428571,1009.1428571428571
0.0,2,3,6,-17.0,2725.0,-3.1,1025.142857142857,1025.138548547419
0.0,2,3,6,17.0,-2725.0,3.1,1025.138548547419,1025.142857142857
0.0,2,3,6,-38.0,3730.0,-1.5,1025.142857142857,1025.142857142857
0.0,2,3,6,38.0,-3730.0,1.5,1025.142857142857,1025.142857142857
0.0,2,3,3,269.0,-564.0,-2.7,1000.0,995.4887171193529
0.0,2,3,3,-269.0,564.0,2.7,995.4887171193529,1000.0
0.0,2,3,3,18.0,-145.0,-1.3,994.8270749571972,995.4285714285714
0.0,2,3,3,-18.0,145.0,1.3,995.4285714285714,994.8270749571972
0.0,2,3,3,-38.0,522.0,-0.3,1000.0,1000.0
0.0,2,3,3,38.0,-522.0,0.3,1000.0,1000.0
0.0,2,3,3,12.0,-130.0,-6.3,1000.0,1009.1428571428571
0.0,2,3,3,-12.0,130.0,6.3,1009.1428571428571,1000.0
0.0,2,3,3,-8.0,85.0,4.4,1000.0,1000.0
0.0,2,3,3,8.0,-85.0,-4.4,1000.0,1000.0
0.0,2,3,3,-10.0,326.0,-5.9,995.4285714285714,995.4285714285714
0.0,2,3,3,10.0,-326.0,5.9,995.4285714285714,995.4285714285714
0.0,2,3,3,-4.0,105.0,0.7,994.8270749571972,995.4285714285714
0.0,2,3,3,4.0,-105.0,-0.7,995.4285714285714,994.8270749571972
0.0,2,3,3,-36.0,265.0,4.4,992.9351165633587,992.9351165633587
0.0,2,3,3,36.0,-265.0,-4.4,992.9351165633587,992.9351165633587
0.0,2,3,3,-12.0,73.0,-5.2,992.9351165633587,995.4285714285714
0.0,2,3,3,12.0,-73.0,5.2,995.4285714285714,992.9351165633587
0.0,2,3,3,58.0,-569.0,3.4,1000.0,992.9351165633587
0.0,2,3,3,-58.0,569.0,-3.4,992.9351165633587,1000.0
0.0,2,3,3,-30.0,257.0,-4.5,995.4285714285714,994.9206349206348
0.0,2,3,3,30.0,-257.0,4.5,994.9206349206348,995.4285714285714
0.0,2,3,3,-29.0,199.0,-0.2,994.9206349206348,995.4285714285714
0.0,2,3,3,29.0,-199.0,0.2,995.4285714285714,994.9206349206348
0.0,2,3,7,3.0,-555.0,3.4,1041.1426587247047,1041.142857142857
0.0,2,3,7,-3.0,555.0,-3.4,1041.142857142857,1041.1426587247047
0.0,2,3,4,320.0,-1655.0,-1.3,1004.5120741201433,1000.0
0.0,2,3,4,-320.0,1655.0,1.3,1000.0,1004.5120741201433
0.0,2,3,4,37.0,-517.0,-2.0,1010.8547748656925,1004.5714285714286
0.0,2,3,4,-37.0,517.0,2.0,1004.5714285714286,1010.8547748656925
