best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,24,11.0,4.3307,-1.5,0,-0.0,-6.0,5.0,0,1502.66667,1502.66667,-0.0
3,24,78.0,5.8721,-3.5,1,1.0,1.0,-4.0,0,1502.66667,1502.66667,0.0
3,24,-78.0,-5.8721,3.5,0,-1.0,-1.0,4.0,0,1502.66667,1502.66667,-0.0
3,48,35.0,6.7044,-1.3,1,-1.0,4.0,-1.0,0,1502.66667,1502.66667,0.0
3,48,-35.0,-6.7044,1.3,0,1.0,-4.0,1.0,0,1502.66667,1502.66667,-0.0
3,24,64.0,6.6657,-0.4,1,-6.0,2.0,-5.0,0,1502.66667,1502.66667,0.0
3,24,-64.0,-6.6657,0.4,0,6.0,-2.0,5.0,0,1502.66667,1502.66667,-0.0
3,24,50.0,6.9344,1.9,1,-2.0,-2.0,2.0,0,1502.66667,1502.66667,0.0
3,24,-50.0,-6.9344,-1.9,0,2.0,2.0,-2.0,0,1502.66667,1502.66667,-0.0
3,48,-77.0,-7.1349,4.4,1,,,,0,1502.66667,1502.66667,0.0
3,48,77.0,7.1349,-4.4,0,,,,0,1502.66667,1502.66667,-0.0
3,24,-3.0,-2.9957,-3.0,1,-2.0,-3.0,5.0,0,1502.66667,1502.66667,0.0
3,24,3.0,2.9957,3.0,0,2.0,3.0,-5.0,0,1502.66667,1502.66667,-0.0
3,24,11.0,5.2832,-5.9,1,10.0,2.0,1.0,0,1502.66667,1502.66667,0.0
3,24,-11.0,-5.2832,5.9,0,-10.0,-2.0,-1.0,0,1502.66667,1502.66667,-0.0
3,48,-4.0,-5.1417,8.8,1,-11.0,-3.0,-1.0,0,1502.66667,1502.66667,0.0
3,48,4.0,5.1417,-8.8,0,11.0,3.0,1.0,0,1502.66667,1502.66667,-0.0
3,24,6.0,4.1589,-2.0,1,-1.0,-1.0,-4.0,0,1502.66667,1502.66667,0.0
3,24,-6.0,-4.1589,2.0,0,1.0,1.0,4.0,0,1502.66667,1502.66667,-0.0
3,24,35.0,5.4723,11.4,1,-6.0,-7.0,2.0,0,1502.66667,1502.66667,0.0
3,24,-35.0,-5.4723,-11.4,0,6.0,7.0,-2.0,0,1502.66667,1502.66667,-0.0
3,48,39.0,5.9814,4.8,1,7.0,-6.0,6.0,0,1502.66667,1502.66667,0.0
3,48,-39.0,-5.9814,-4.8,0,-7.0,6.0,-6.0,0,1502.66667,1502.66667,-0.0
